Ref,Val,Package,Mid X,Mid Y,Rotation,Layer
"D1","D_Small","D_SOD-123",100.750000,-45.350000,90.000000,bottom
"D2","D_Small","D_SOD-123",103.350000,-45.350000,90.000000,bottom
"D3","D_Small","D_SOD-123",105.950000,-45.350000,90.000000,bottom
"D4","D_Small","D_SOD-123",108.550000,-45.350000,90.000000,bottom
"D5","D_Small","D_SOD-123",90.400000,-45.350000,90.000000,bottom
"D6","D_Small","D_SOD-123",93.000000,-45.350000,90.000000,bottom
"D7","D_Small","D_SOD-123",95.600000,-45.350000,90.000000,bottom
"D8","D_Small","D_SOD-123",98.200000,-45.350000,90.000000,bottom
"D9","D_Small","D_SOD-123",92.863641,-54.300000,270.000000,bottom
"D10","D_Small","D_SOD-123",90.418187,-54.300000,270.000000,bottom
"D11","D_Small","D_SOD-123",87.972733,-54.300000,270.000000,bottom
"D12","D_Small","D_SOD-123",85.527270,-54.300000,270.000000,bottom
"D13","D_Small","D_SOD-123",80.163637,-45.350000,90.000000,bottom
"D14","D_Small","D_SOD-123",77.718183,-45.350000,90.000000,bottom
"D15","D_Small","D_SOD-123",123.400000,-38.100000,180.000000,bottom
"D16","D_Small","D_SOD-123",123.400000,-40.590000,180.000000,bottom
"D17","D_Small","D_SOD-123",82.609091,-45.350000,90.000000,bottom
"D18","D_Small","D_SOD-123",72.827275,-45.350000,90.000000,bottom
"D19","D_Small","D_SOD-123",75.272729,-45.350000,90.000000,bottom
"D20","D_Small","D_SOD-123",123.400000,-18.150000,180.000000,bottom
"D21","D_Small","D_SOD-123",123.400000,-33.100000,180.000000,bottom
"D22","D_Small","D_SOD-123",85.054545,-45.350000,90.000000,bottom
"D23","D_Small","D_SOD-123",161.200000,-9.150000,0.000000,bottom
"D24","D_Small","D_SOD-123",161.200000,-33.750000,0.000000,bottom
"D25","D_Small","D_SOD-123",161.200000,-41.200000,0.000000,bottom
"D26","D_Small","D_SOD-123",161.200000,-36.250000,0.000000,bottom
"D27","D_Small","D_SOD-123",161.200000,-38.712500,0.000000,bottom
"D28","D_Small","D_SOD-123",197.473070,-47.300000,90.000000,bottom
"D29","D_Small","D_SOD-123",205.930760,-47.300000,90.000000,bottom
"D30","D_Small","D_SOD-123",208.750000,-47.300000,90.000000,bottom
"D31","D_Small","D_SOD-123",161.200000,-31.250000,0.000000,bottom
"D32","D_Small","D_SOD-123",161.200000,-28.750000,0.000000,bottom
"D33","D_Small","D_SOD-123",161.200000,-26.250000,0.000000,bottom
"D34","D_Small","D_SOD-123",161.200000,-23.700000,0.000000,bottom
"D35","D_Small","D_SOD-123",183.457690,-47.300000,90.000000,bottom
"D36","D_Small","D_SOD-123",180.638460,-47.300000,90.000000,bottom
"D37","D_Small","D_SOD-123",177.819230,-47.300000,90.000000,bottom
"D38","D_Small","D_SOD-123",175.000000,-47.300000,90.000000,bottom
"D39","D_Small","D_SOD-123",194.734610,-47.300000,90.000000,bottom
"D40","D_Small","D_SOD-123",191.915380,-47.300000,90.000000,bottom
"D41","D_Small","D_SOD-123",189.096150,-47.300000,90.000000,bottom
"D42","D_Small","D_SOD-123",186.276920,-47.300000,90.000000,bottom
"D43","D_Small","D_SOD-123",200.292300,-47.300000,90.000000,bottom
"D44","D_Small","D_SOD-123",203.111530,-47.300000,90.000000,bottom
"D45","D_Small","D_SOD-123",123.400000,-30.595552,180.000000,bottom
"D46","D_Small","D_SOD-123",123.400000,-28.096664,180.000000,bottom
"D47","D_Small","D_SOD-123",123.400000,-25.597776,180.000000,bottom
"D48","D_Small","D_SOD-123",123.400000,-23.098888,180.000000,bottom
"D49","D_Small","D_SOD-123",123.400000,-35.600000,180.000000,bottom
"D50","D_Small","D_SOD-123",123.400000,-20.650000,180.000000,bottom
"D51","D_Small","D_SOD-123",95.400000,-54.300000,270.000000,bottom
"D52","D_Small","D_SOD-123",161.200000,-6.700000,0.000000,bottom
"D53","D_Small","D_SOD-123",97.900000,-54.300000,270.000000,bottom
"D54","D_Small","D_SOD-123",161.200000,-21.250000,0.000000,bottom
"D55","D_Small","D_SOD-123",161.200000,-18.800000,0.000000,bottom
"D56","D_Small","D_SOD-123",161.200000,-16.400000,0.000000,bottom
"D57","D_Small","D_SOD-123",161.200000,-14.000000,0.000000,bottom
"D58","D_Small","D_SOD-123",161.200000,-11.600000,0.000000,bottom
"R1","5.1K","R_0805_2012Metric",180.900000,-66.600000,90.000000,bottom
"R2","5.1K","R_0805_2012Metric",182.900000,-66.600000,270.000000,bottom
